2023-02-11 17:38:08,220 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 17:38:08,471 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-11 17:38:08,676 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-11 17:38:08,859 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2023-02-11 17:38:09,237 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Oracle VM VirtualBox (/usr/share/applications/virtualbox.desktop) Exec ['VirtualBox']
2023-02-11 17:38:09,252 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-11 18:43:35,874 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Hi-Fi RUSH" (/home/tommi/.local/share/applications/Hi-Fi RUSH.desktop)
2023-02-11 18:56:51,906 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "ToS Gamepad Tester" (/home/tommi/.local/share/applications/ToS Gamepad Tester.desktop)
2023-02-12 10:47:36,553 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 10:47:36,553 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 10:47:36,558 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:47:37,275 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 10:47:37,456 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 10:47:37,768 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:47:38,091 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-12 10:47:39,477 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application balenaEtcher (1.15.5) (/home/tommi/.local/share/applications/appimagekit_90e0bc46eed0f8b5b3031577bb252335-balenaEtcher.desktop) Exec ['/home/tommi/Applications/balenaEtcher-1.15.5-x64_787f8776dc26091cb586db22da3309a4.AppImage', '--no-sandbox']
2023-02-12 10:47:39,486 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:47:43,219 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 10:47:43,219 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 10:47:43,223 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:47:44,281 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 10:47:44,421 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-12 10:47:45,236 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 10:47:45,375 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:47:46,235 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 10:47:46,363 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2023-02-12 10:47:46,629 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-12 10:47:46,838 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2023-02-12 10:47:46,954 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2023-02-12 10:47:47,410 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application KDE Partition Manager (/usr/share/applications/org.kde.partitionmanager.desktop) Exec ['partitionmanager']
2023-02-12 10:47:47,424 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:59:22,089 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 10:59:22,090 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 10:59:22,105 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:59:22,674 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 10:59:23,294 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 10:59:23,523 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 10:59:23,717 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-12 10:59:24,331 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application balenaEtcher (1.15.5) (/home/tommi/.local/share/applications/appimagekit_90e0bc46eed0f8b5b3031577bb252335-balenaEtcher.desktop) Exec ['/home/tommi/Applications/balenaEtcher-1.15.5-x64_787f8776dc26091cb586db22da3309a4.AppImage', '--no-sandbox']
2023-02-12 10:59:24,340 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:25:36,562 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 11:25:36,562 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 11:25:36,566 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:25:37,031 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 11:25:37,259 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 11:25:37,456 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2023-02-12 11:26:21,450 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "GeForce NOW" (/var/lib/flatpak/exports/share/applications/io.github.hmlendea.geforcenow-electron.desktop)
2023-02-12 11:26:33,456 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Citra" (/var/lib/flatpak/exports/share/applications/org.citra_emu.citra.desktop)
2023-02-12 11:27:08,018 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 11:27:08,018 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
